Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,2001,2002,2003,2004,2005,2006,2007,2008,2009,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
BTN,Bhutan,32416,Press Freedom Index,Total,90.8,77.33,55.83,51.5,25,37.17,15.5,15.75,17.75,28.42,30.73,32.65,30.73,,30.73,30.73,29.81,28.9,28.86
BTN,Bhutan,32417,Press Freedom Rank,Total,100,109,96,83,41,74,17,26,32,67,81,98,90,80,84,94,80,67,65
BWA,Botswana,32416,Press Freedom Index,Total,,13,11.5,14,13,23.5,14,15.5,17.5,22.91,22.91,22.91,22.91,,24.93,25.29,25.09,23.56,23.25
BWA,Botswana,32417,Press Freedom Rank,Total,,11,11,16,12,43,12,23,31,26,30,37,39,45,48,48,44,39,38
CAF,Central African Republic,32416,Press Freedom Index,Total,21.5,32.75,32.5,19.75,14.5,22.5,18.5,17.75,18.5,26.61,,,33.6,,36.12,35.25,47.27,42.87,41.92
CAF,Central African Republic,32417,Press Freedom Rank,Total,25,58,59,30,15,39,21,34,36,50,,,104,107,113,112,145,132,126
CAN,Canada,32416,Press Freedom Index,Total,0.8,1.83,3.33,4.5,4.5,4.88,3.33,3.7,7,12.69,10.99,10.99,15.26,,16.53,15.28,15.69,15.29,15.25
CAN,Canada,32417,Press Freedom Rank,Total,2,6,54,65,63,84,50,62,123,6,7,3,14,19,22,18,18,16,14
CHE,Switzerland,32416,Press Freedom Index,Total,4.3,2.5,0.5,0.5,2.5,3,3,1,0,9.94,10.47,13.85,11.76,,12.13,11.27,10.52,10.62,10.55
CHE,Switzerland,32417,Press Freedom Rank,Total,65,29,1,1,33,61,49,3,2,177,4,15,3,4,7,5,6,8,10
CHL,Chile,32416,Press Freedom Index,Total,6.5,6.83,10,11.75,11.63,12.13,11.5,10.5,10.5,26.24,25.8,23,19.23,,20.53,22.69,25.65,27.31,27.89
CHL,Chile,32417,Press Freedom Rank,Total,81,101,4,9,8,13,3,4,4,46,47,38,27,30,33,38,46,51,54
CHN,China,32416,Press Freedom Index,Total,97,91.25,92.33,83,94,89,85.5,84.5,84.67,73.07,72.91,73.55,80.96,,77.66,78.29,78.92,78.48,78.72
CHN,China,32417,Press Freedom Rank,Total,103,121,121,110,107,134,115,127,138,164,171,171,173,169,176,176,177,177,177
CIV,Cote d'Ivoire,32416,Press Freedom Index,Total,19,42.17,60.38,52.25,25,27,26.5,29,,29.77,31.63,30.45,30.17,,30.42,30.08,29.52,,
CIV,Cote d'Ivoire,32417,Press Freedom Rank,Total,19,80,102,85,41,57,42,55,,81,90,80,82,77,81,82,71,,
