country_year,country,year,electexec,electleg,electboth,v2xel_elecpres,v2xel_elecparl,AF.el_rating,PEI.el_rating,VDEM.el_rating,PEI.EMB_cap,VDEM.EMB_cap,PEI.protest,VDEM.turnout,VDEM.VAP_turnout,nelda17,nelda18,nelda11,nelda45,nelda46,nelda3,nelda4,nelda5,nelda29,nelda30,POLITY5.fragment,POLITY5.polity2,POLITY5.durable,POLITY5.parcomp,FH.fh_total,WB.GDP_ppc,WB.FDI,WB.inflation,WB.gini,WB.urban_pop,literacy_imputed,VDEM.yrs_education,press_freedom,VDEM.elec_viol,VDEM.international_monitors_present,VDEM.access_to_public_services_social_group,VDEM.access_to_public_services_pol_group,VDEM.regime_support_by_an_ethnic_group,VDEM.is_an_ethnic_group_the_most_powerful_regime_support_group,VDEM.is_an_ethnic_group_the_most_powerful_regime_duration_group,after_non_violent_number_of_events,after_non_violent_number_of_fatalities,after_violent_number_of_events,after_violent_number_of_fatalities,before_non_violent_number_of_events,before_non_violent_number_of_fatalities,before_violent_number_of_events,before_violent_number_of_fatalities,on_date_non_violent_number_of_events,on_date_non_violent_number_of_fatalities,on_date_violent_number_of_events,on_date_violent_number_of_fatalities,events_before,events_after,fatilities_before,fatilities_after,change_in_events,change_in_fatalities,change_in_violent_events,change_in_non_violent_events,change_in_violent_fatalities,change_in_non_violent_fatalities
Central African Republic-2016,Central African Republic,2016,NA,NA,NA,1,1,NA,7,2.79,55.078125,1.147,68.75,59.01,57.49,1,0,1,1,NA,1,1,1,0,NA,2,6,0,3,14,391.473534551141,7256090.484,4.94543276106514,NA,40.618,37.3958206176758,3.058,NA,1.938,1,-1.694,0.912,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central African Republic-2020,Central African Republic,2020,NA,NA,NA,1,1,NA,NA,1.264,NA,1.147,NA,76.31,21.48,0,1,1,1,0,1,1,1,1,1,NA,NA,NA,NA,14,414.396619069378,34747196.47,2.30368378868849,NA,42.198,37.3958206176758,3.058,42.87,0.075,1,-1.71,0.488,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central African Republic-2021,Central African Republic,2021,NA,NA,NA,1,1,NA,NA,1.264,NA,1.408,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.058,41.92,0.881,1,-2.287,-0.685,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chad-2001,Chad,2001,Yes,No,No,1,0,NA,NA,1.029,NA,1.52,NA,61.12,70.01,1,0,0,1,1,1,1,1,0,NA,0,-1,5,3,11,403.129702668452,459866391.8,12.4312865279941,NA,21.67,28.3814296722412,4.414,28.8,2.136,1,-1.121,0.46,0.167,0,0,1,0,4,103,0,0,2,17,0,0,0,0,2,5,17,103,1.5,5.0588235294117645,1,NA,5.0588235294117645,NA
Chad-2002,Chad,2002,No,Yes,No,0,1,NA,NA,1.029,NA,1.52,NA,52.4,59.61,1,0,0,1,0,1,1,1,0,NA,0,-1,6,3,11,420.815937071809,924119210.1,5.19181895195446,NA,21.702,28.3814296722412,4.618,24,2.136,1,-1.121,0.46,0.167,0,0,0,0,1,12,0,0,1,0,0,0,1,1,1,1,0,12,0,NA,0,NA,NA,NA
Chad-2006,Chad,2006,Yes,No,No,1,0,NA,NA,1.021,NA,1.52,NA,53.08,71.4,1,0,1,1,0,1,1,1,0,NA,0,-2,14,3,12,657.084735947388,-278413999.9,8.03628897951331,NA,21.834,26.0029907226563,5.433,36.5,2.304,1,-1.121,-0.653,0.286,0,0,1,0,10,73,1,0,37,859,0,0,0,0,38,11,859,73,-0.7105263157894737,-0.9150174621653084,-0.7297297297297297,0,-0.9150174621653084,NA
Chad-2011,Chad,2011,No,No,No,1,1,NA,NA,1.345,NA,1.52,NA,56.6,57.92,0,0,1,1,1,1,1,1,0,NA,0,-2,19,3,13,700.662705270942,281899999.9,2.02924053678257,43.3,22.054,26.0029907226563,6.249,NA,2.419,1,-1.121,-0.653,0.286,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-1,NA,-1,NA,NA,NA
Chad-2016,Chad,2016,NA,NA,NA,1,0,NA,2.3333333,0.482,32.708332,0.986,35.416668,65.95,70.98,0,1,1,1,1,1,1,1,1,1,0,-2,24,3,13,704.960071760413,244682121,-0.792440525236028,NA,22.677,22.3115501403809,6.249,NA,1.466,1,0.368,-0.075,0.286,0,0,0,0,4,4,7,0,15,13,1,0,1,0,22,4,13,4,-0.8181818181818181,-0.6923076923076923,-0.7333333333333334,-1,-0.6923076923076923,NA
Chad-2021,Chad,2021,NA,NA,NA,1,0,NA,NA,0.581,NA,1.836,NA,63.37,57.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.249,40.2,1.427,1,0.368,-0.075,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Comoros-2002,Comoros,2002,Yes,No,No,1,0,NA,NA,2.828,NA,1.156,NA,76.28,37.99,0,0,1,1,1,1,1,0,1,1,2,4,0,4,9,1186.4510536465,430423.479,3.53304214308075,NA,27.992,49.1961402893066,NA,18.5,2.888,1,-0.761,0.046,0.4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
